ser,gap_db
0.37023,10.11553523
0.3732723786,10.11830625
0.3763147571,10.12107727
0.3793571357,10.12384829
0.3823995142,10.12661931
0.3854418928,10.12939033
0.3884842714,10.13216136
0.3915266499,10.13493238
0.3945690285,10.1377034
0.397611407,10.14047442
0.4006537856,10.14324544
0.4036961642,10.14601646
0.4067385427,10.14878749
0.4097809213,10.15155851
0.4128232998,10.15432953
0.4158656784,10.15710055
0.418908057,10.15987157
0.4219504355,10.16264259
0.4249928141,10.16541362
0.4280351926,10.16818464
0.4310775712,10.17095566
0.4341199497,10.17372668
0.4371623283,10.1764977
0.4402047069,10.17926873
0.4432470854,10.18203975
0.446289464,10.18481077
0.4493318425,10.18758179
0.4523742211,10.19035281
0.4554165997,10.19312383
0.4584589782,10.19589486
0.4615013568,10.19814261
0.4645437353,10.19841844
0.4675861139,10.19869428
0.4706284925,10.19897012
0.473670871,10.20189792
0.4767132496,10.2050105
0.4797556281,10.20812308
0.4827980067,10.21123566
0.4858403853,10.21434824
0.4888827638,10.21746083
0.4919251424,10.22057341
0.4949675209,10.22368599
0.4980098995,10.22679857
0.5010522781,10.22991115
0.5040946566,10.23302373
0.5071370352,10.23613631
0.5101794137,10.2392489
0.5132217923,10.24236148
0.5162641709,10.24547406
0.5193065494,10.24858664
0.522348928,10.25169922
0.5253913065,10.2548118
0.5284336851,10.25792438
0.5314760637,10.26103697
0.5345184422,10.26414955
0.5375608208,10.26726213
0.5406031993,10.27037471
0.5436455779,10.27348729
0.5466879564,10.27659987
0.549730335,10.27971246
0.5527727136,10.28282504
0.5558150921,10.28593762
0.5588574707,10.2890502
0.5618998492,10.29261998
0.5649422278,10.29728408
0.5679846064,10.30194819
0.5710269849,10.3066123
0.5740693635,10.3112764
0.577111742,10.31572832
0.5801541206,10.31951819
0.5831964992,10.32330805
0.5862388777,10.32709792
0.5892812563,10.33088779
0.5923236348,10.33467765
0.5953660134,10.33846752
0.598408392,10.34225739
0.6014507705,10.34604725
0.6044931491,10.34983712
0.6075355276,10.35362698
0.6105779062,10.35741685
0.6136202848,10.36120672
0.6166626633,10.36499658
0.6197050419,10.36878645
0.6227474204,10.37257631
0.625789799,10.37636618
0.6288321776,10.38015605
0.6318745561,10.38394591
0.6349169347,10.38773578
0.6379593132,10.39152564
0.6410016918,10.39531551
0.6440440704,10.39910538
0.6470864489,10.40289524
0.6501288275,10.40668511
0.653171206,10.41047497
0.6562135846,10.41426484
0.6592559631,10.41975796
0.6622983417,10.4320994
0.6653407203,10.44444085
0.6683830988,10.45678229
0.6714254774,10.46912373
0.6744678559,10.48146518
0.6775102345,10.49380662
0.6805526131,10.50536815
0.6835949916,10.50637164
0.6866373702,10.50737513
0.6896797487,10.50837863
0.6927221273,10.50938212
0.6957645059,10.51038561
0.6988068844,10.51138911
0.701849263,10.5123926
0.7048916415,10.51339609
0.7079340201,10.51439959
0.7109763987,10.51540308
0.7140187772,10.51640657
0.7170611558,10.51741007
0.7201035343,10.51841356
0.7231459129,10.51941705
0.7261882915,10.52042055
0.72923067,10.52142404
0.7322730486,10.52242753
0.7353154271,10.52343103
0.7383578057,10.52443452
0.7414001843,10.52543801
0.7444425628,10.5264415
0.7474849414,10.5418762
0.7505273199,10.55765458
0.7535696985,10.57343296
0.7566120771,10.58921134
0.7596544556,10.60498973
0.7626968342,10.62076811
0.7657392127,10.63654649
0.7687815913,10.64555048
0.7718239698,10.64596631
0.7748663484,10.64638213
0.777908727,10.64679796
0.7809511055,10.64721379
0.7839934841,10.64762962
0.7870358626,10.64804544
0.7900782412,10.64846127
0.7931206198,10.6488771
0.7961629983,10.64929293
0.7992053769,10.64970876
0.8022477554,10.65012458
0.805290134,10.65054041
0.8083325126,10.65095624
0.8113748911,10.65137207
0.8144172697,10.65178789
0.8174596482,10.66599377
0.8205020268,10.68853386
0.8235444054,10.71107394
0.8265867839,10.73361403
0.8296291625,10.75615411
0.832671541,10.7786942
0.8357139196,10.80123429
0.8387562982,10.82377437
0.8417986767,10.81441442
0.8448410553,10.80418892
0.8478834338,10.79396343
0.8509258124,10.78373793
0.853968191,10.77351244
0.8570105695,10.76328694
0.8600529481,10.75306144
0.8630953266,10.74283595
0.8661377052,10.73261045
0.8691800838,10.72238495
0.8722224623,10.71467677
0.8752648409,10.74356673
0.8783072194,10.77245668
0.881349598,10.80134663
0.8843919765,10.83023658
0.8874343551,10.85912654
0.8904767337,10.88696207
0.8935191122,10.87006808
0.8965614908,10.85317409
0.8996038693,10.8362801
0.9026462479,10.81938611
0.9056886265,10.80249212
0.908731005,10.78559813
0.9117733836,10.76870414
0.9148157621,10.77779104
0.9178581407,10.81891382
0.9209005193,10.86003661
0.9239428978,10.90115939
0.9269852764,10.94228217
0.9300276549,10.92173347
0.9330700335,10.8868213
0.9361124121,10.85190914
0.9391547906,10.81699698
0.9421971692,10.78208482
0.9452395477,10.82593689
0.9482819263,10.90570533
0.9513243049,10.98547378
0.9543666834,11.00642719
0.957409062,10.96135692
0.9604514405,10.91628665
0.9634938191,10.92780128
0.9665361977,11.01476826
0.9695785762,11.10173524
0.9726209548,11.01598634
0.9756633333,10.92785334
